The Elder Scrolls V: Skyrim,RPG,11/11/2011,PC,Bethesda Game Studios
Madden NFL 21,Sports,8/28/2020,Xbox One,EA Sports
Animal Crossing: New Horizons,Simulation,3/20/2020,Nintendo Switch,Nintendo
Call of Duty: Black Ops Cold War,FPS,11/13/2020,Playstation 5,Treyarch
Super Mario Bros.,Platformer,9/13/1985,NES,Nintendo
Starcraft,RTS,3/31/1998,PC,Blizzard
Wii Sports Resort,Simulation,6/25/2009,Wii,Nintendo
Knack 2,Platformer,9/5/2017,PS4,Japan Studio
Undertale,RPG,9/15/2015,PC,Toby Fox
God of War,RPG,4/20/2018,PS4,Santa Monica Studio
The Legend of Zelda: Breath of the Wild,Adventure,3/3/2017,Switch,Nintendo
Celeste,Platformer,1/25/2018,PC,Extremely OK Games
Minecraft,Sandbox,11/18/2011,PC,Mojang
Portal 2,Puzzle,4/18/2011,PC,Valve
Katana Zero,Action,4/18/2019,PC,Askiisoft
Hollow Knight,Metroidvania,2/24/2017,PC,Team Cherry
Factorio,Sandbox,8/14/2020,PC,Wube
Doom Eternal,FPS,3/20/2020,PC,Bethesda
Superhot,FPS,2/25/2016,PC,Superhot Team
Ori and the Will of the Wisps,Metroidvania,3/11/2020,PC,Moon Studios
Halo,FPS,11/15/2001,Xbox,Bungie
Mario Kart WIi,Racing,2008,Wii,Nintendo
Goat Simulator,Sandbox,4/1/2014,PC,Coffee Stain Studios
Grand Theft Auto V,Sandbox,9/17/2013,Xbox One,Rockstar Games
Tetris,Puzzle,6/14/1989,NES,Nintendo
Pokemon Red,RPG,2/27/1996,Game Boy,Game Freak
Mario Kart 8 Deluxe,Racing,5/29/2014,Switch,Nintendo
Red Dead Redemption 2,RPG,10/26/2018,PS4,Rockstar Games
Terraria,Sandbox,5/16/2011,PC,Re-Logic
Diablo III,RPG,5/16/2012,PC,Blizzard
